X18X78,X18X78.25,X18X78.5,X18X78.75,X18X79,X18X79.25,X18X79.5
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0.200000003,0.200000003,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0.200000003,0.300000012,0.300000012
0,0.200000003,0.200000003,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.5,1,2.299999952,2.599999905,2,0.200000003,0.200000003
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2.5,1.700000048,0,0,0,0,0
1.100000024,0.800000012,0.200000003,2,3.900000095,7.199999809,7.199999809
0.100000001,0,0,0,0,0,0
1.100000024,2.099999905,2.099999905,1.5,1.299999952,2.299999952,2.200000048
1.899999976,2.5,1.600000024,2.700000048,4.699999809,8.199999809,8.100000381
0,0,0,0.100000001,0.300000012,0.5,0.5
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.399999976,0.600000024,0.600000024,0.400000006,0,0.100000001,0.200000003
3.5,3.099999905,4.699999809,5.599999905,5,0.600000024,0.400000006
0,0,0,0,0,0,0
0.699999988,0.5,0,0,0,0,0
0,0,0,0,0,0,0
0.699999988,0,0,0,0,0,0
0,0.200000003,0.100000001,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0.100000001,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.699999988,1.200000048,1.200000048,0.699999988,0,0,0
1.799999952,1.100000024,0,0,0,0,0.600000024
0,0,0,4.599999905,9,16.5,16.5
0.699999988,0.5,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0.200000003,0.200000003,0,0,0,0
1.5,3,3,1.100000024,0.200000003,0,0
0.100000001,0.300000012,10.69999981,15.80000019,14.60000038,1.700000048,1.200000048
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0.200000003,0.200000003,0,0,0,0
0.300000012,0.699999988,0.699999988,0.300000012,0,0,0
1.100000024,2.599999905,2.700000048,0.5,0.100000001,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4.199999809,0,0,0,0,0,0
1.299999952,0.899999976,1.399999976,2.599999905,3.299999952,3.299999952,3.299999952
11.30000019,9.199999809,3.5,2.5,0.800000012,0,0
7,4.199999809,3.299999952,1,0.200000003,0,0
0,0.400000006,0.300000012,0,0,0,0
0,0,0,0.699999988,1.299999952,2.400000095,2.400000095
0,0,0,0,0,0,0
0,0,0.600000024,0.899999976,0.800000012,0,0
4.599999905,0.300000012,0.300000012,0.200000003,0,0,0
3.599999905,3.799999952,2.099999905,1,0.100000001,0,0
8,6.300000191,2,0.400000006,0.200000003,0.300000012,0.300000012
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2.900000095,1.299999952,0,0,0,0,0
0,0,0,0.5,0.899999976,1.700000048,1.700000048
0,0,0.300000012,3.200000048,5.800000191,10.10000038,10.10000038
0,0,0,0,0,0,0
0,0,0,0,0,0,0
